Ano;Mês;Data;Distrito;Concelho;Freguesia;Nível de Tensão;Energia Ativa (kWh);CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024;01;2024-01;LISBOA;Vila Franca de Xira;UF ALVERCA RIBATEJO SOBRALINHO;Muito Alta, Alta e Média Tensões;6035272.551;11;1114;111413
2024;01;2024-01;PORTO;Marco de Canaveses;VILA BOA DE QUIRES E MAURELES;Baixa Tensão;668623.5;13;1307;130741
2024;02;2024-02;VIANA DO CASTELO;Ponte de Lima;GONDUFE;Baixa Tensão;15219.463;16;1607;160728
2024;02;2024-02;VISEU;Lamego;VARZEA DE ABRUNHAIS;Muito Alta, Alta e Média Tensões;51517.129;18;1805;180523
2024;02;2024-02;VISEU;Moimenta da Beira;SEVER;Muito Alta, Alta e Média Tensões;16475.129;18;1807;180719
2024;01;2024-01;BRAGA;Vila Nova de Famalicão;VILARINHO DAS CAMBAS;Muito Alta, Alta e Média Tensões;772636.291;03;0312;031249
2024;01;2024-01;GUARDA;Seia;LORIGA;Muito Alta, Alta e Média Tensões;65439.902;09;0912;091207
2024;01;2024-01;LEIRIA;Leiria;UF LEIRIA POUSOS BARREI CORTES;Baixa Tensão;9122155.948;10;1009;100933
2024;01;2024-01;VIANA DO CASTELO;Melgaço;UF VILA E ROUSSAS;Muito Alta, Alta e Média Tensões;70393.225;16;1603;160323
2024;01;2024-01;VIANA DO CASTELO;Valença;FRIESTAS;Baixa Tensão;103175.339;16;1608;160806
2024;01;2024-01;VISEU;Penalva do Castelo;INSUA;Muito Alta, Alta e Média Tensões;114061.998;18;1811;181105
2024;02;2024-02;CASTELO BRANCO;Covilhã;UF COVILHA E CANHOSO;Baixa Tensão;1823265.028;05;0503;050335
2024;02;2024-02;COIMBRA;Cantanhede;SANGUINHEIRA;Baixa Tensão;99217.221;06;0602;060218
2024;02;2024-02;COIMBRA;Lousã;SERPINS;Muito Alta, Alta e Média Tensões;123713.58;06;0607;060704
2024;02;2024-02;COIMBRA;Oliveira do Hospital;LAGARES;Muito Alta, Alta e Média Tensões;34717.364;06;0611;061106
2024;02;2024-02;GUARDA;Almeida;CASTELO BOM;Baixa Tensão;10409.105;09;0902;090207
2024;02;2024-02;GUARDA;Almeida;SAO PEDRO DE RIO SECO;Baixa Tensão;7150.01;09;0902;090224
2024;02;2024-02;PORTO;Felgueiras;UF VILA COVA LIXA BORBA GODIM;Baixa Tensão;482529.645;13;1303;130339
2024;02;2024-02;SANTAREM;Chamusca;VALE DE CAVALOS;Muito Alta, Alta e Média Tensões;62061.742;14;1407;140705
2024;02;2024-02;SANTAREM;Ferreira do Zêzere;CHAOS;Baixa Tensão;26925.407;14;1411;141104
2024;02;2024-02;VIANA DO CASTELO;Arcos de Valdevez;UF PADREIRO;Baixa Tensão;39654.322;16;1601;160159
2024;01;2024-01;BRAGA;Celorico de Basto;MOREIRA DO CASTELO;Baixa Tensão;70325.245;03;0305;030515
2024;01;2024-01;BRAGA;Guimarães;UF OLIVEIRA S PAIO S SEBASTIAO;Muito Alta, Alta e Média Tensões;541896.869;03;0308;030884
2024;01;2024-01;BRAGA;Vila Nova de Famalicão;OLIVEIRA (SANTA MARIA);Baixa Tensão;665221.024;03;0312;031239
2024;01;2024-01;COIMBRA;Miranda do Corvo;MIRANDA DO CORVO;Muito Alta, Alta e Média Tensões;375391.743;06;0609;060902
2024;01;2024-01;FARO;Albufeira;FERREIRAS;Muito Alta, Alta e Média Tensões;424574.842;08;0801;080104
2024;02;2024-02;BRAGA;Fafe;FAFE;Muito Alta, Alta e Média Tensões;433040.907;03;0307;030709
2024;02;2024-02;COIMBRA;Cantanhede;UF PORTUNHOS E OUTIL;Baixa Tensão;98052.738;06;0602;060222
2024;02;2024-02;SETUBAL;Almada;UF CAPARICA E TRAFARIA;Muito Alta, Alta e Média Tensões;291069.423;15;1503;150313
2024;01;2024-01;AVEIRO;Espinho;PARAMOS;Muito Alta, Alta e Média Tensões;320849.404;01;0107;010704
2024;01;2024-01;BEJA;Beja;UF BEJA S TIAGO E S J BAPTISTA;Muito Alta, Alta e Média Tensões;1444475.267;02;0205;020521
2024;01;2024-01;BEJA;Ferreira do Alentejo;FIGUEIRA DOS CAVALEIROS;Muito Alta, Alta e Média Tensões;107237.126;02;0208;020803
2024;01;2024-01;BRAGA;Guimarães;GONCA;Baixa Tensão;131635.685;03;0308;030820
2024;01;2024-01;BRAGA;Guimarães;INFANTAS;Baixa Tensão;232938.517;03;0308;030824
2024;01;2024-01;BRAGA;Vila Verde;LANHAS;Muito Alta, Alta e Média Tensões;36638.45;03;0313;031324
2024;01;2024-01;COIMBRA;Pampilhosa da Serra;CABRIL;Baixa Tensão;33739.473;06;0612;061201
2024;01;2024-01;GUARDA;Trancoso;UF FRECHES E TORRES;Baixa Tensão;100408.487;09;0913;091330
2024;01;2024-01;LEIRIA;Óbidos;AMOREIRA;Muito Alta, Alta e Média Tensões;321605.614;10;1012;101202
2024;01;2024-01;PORTO;Matosinhos;UF S M INFESTA E SENHORA HORA;Muito Alta, Alta e Média Tensões;5703009.657;13;1308;130814
2024;01;2024-01;SANTAREM;Alpiarça;ALPIARCA;Muito Alta, Alta e Média Tensões;1781182.045;14;1404;140401
2024;02;2024-02;COIMBRA;Lousã;GANDARAS;Baixa Tensão;62057.601;06;0607;060706
